"modalidade","tierId","label","uuid","name","region"
"AXE","7","LT2","d10649d3-b323-4b6a-9aad-38bf66cf81e8","meteorinto","BR"
"AXE","6","HT3","0b6f815f-75cc-4be0-a9f6-c8ac59e1bf42","kylanss","VE"
"AXE","6","HT3","68c99c91-b4a3-474d-8116-81d4bbbd886f","MilanesaMacro","AR"
"AXE","6","HT3","c52245a6-ea4e-4b1c-93a4-f0900f7f58b5","Mubraa","BR"
"AXE","6","HT3","aec0c315-ca03-4193-beaf-68d377d8f353","olfd","AR"
"AXE","6","HT3","98108c05-822f-429c-829b-de67b7ff204a","Pottaatto","BR"
"AXE","6","HT3","deee4035-3a59-45b4-9bad-b33a7f3ea8d2","Sicklezin","BR"
"AXE","5","LT3","4265e038-ff23-41d9-bb12-ff59eff469a7","Banaza","BR"
"AXE","5","LT3","1a12ca4e-488a-475c-a07c-55e209f3e088","BrasilFailed","BR"
"AXE","5","LT3","6b28e5b5-3f7a-446b-9e96-db12a85c0a59","Chro0nos","BR"
"AXE","5","LT3","e404ba7b-4acd-4e7f-b7f9-5d7cb4fc201a","FFranchu","AR"
"AXE","5","LT3","1806d6c2-0542-42ad-a45f-9cd5f1d66dcb","gabsxau","BR"
"AXE","5","LT3","cf1408e4-ef36-4122-95bd-2c219aad202d","HellSinKy","CL"
"AXE","5","LT3","4ee69bfb-7421-4da5-8df7-aba95b7ef288","HenriqueLB","BR"
"AXE","5","LT3","9fac89ba-9ff9-4d5e-9b99-4ee4296efc8e","Heroibesta","BR"
"AXE","5","LT3","0e6ba1a2-e051-4b72-bc2d-5810211236e9","hipnose","BR"
"AXE","5","LT3","053f1d53-51ad-4bb7-bb48-63dcf83e3c99","hrdt","BR"
"AXE","5","LT3","e56e5838-8f11-4c93-b60b-3b87b3d6d485","ILoveMilanesa","AR"
"AXE","5","LT3","46247291-0143-4a0a-8eda-5d8382786187","jggwt","BR"
"AXE","5","LT3","117fdb81-fc2d-4f9c-ad15-edd3d97af111","Kniess","BR"
"AXE","5","LT3","7432b5e4-8ffb-4858-acb5-bb796b86bc53","nequg","BR"
"AXE","5","LT3","33ec7315-8d2e-47f2-bf07-46b0742308bb","OTF_bolsotr0n","BR"
"AXE","5","LT3","a8495166-da70-40fc-83e4-4f06f462aef0","pelaah","AR"
"AXE","5","LT3","5ed3d08f-0dea-4676-99b3-a2d1e38cfa88","Pepalux","BR"
"AXE","5","LT3","b7b15bc3-772f-4be4-b79b-3a69c7fe24b4","Shoyorty","BR"
"AXE","5","LT3","3f044927-65b2-4740-a0cc-ec94e0fb490b","TungTungMoon","BR"
"AXE","5","LT3","1b8b71f5-88b1-4b3a-b18c-ce86e8b755f0","Vivantis","BR"
"AXE","5","LT3","9583242b-a39b-405c-a8b2-08c516c3378d","Wee_gay","BR"
"AXE","5","LT3","2e7a436d-a926-41ba-8e26-9e883cfebf36","YoBlitzo","BR"
"AXE","5","LT3","740ec607-6fb1-42d9-8a15-0b2040fa36d3","Zkwre","AR"
"AXE","5","LT3","6ea0d8d3-89ee-4767-908c-e1a94258a096","Zolidox","BR"
"AXE","4","HT4","35fa6842-5f66-4b22-bcad-8e1d5b99d128","1hit_","BR"
"AXE","4","HT4","238e319d-5b14-4b79-9758-bb2f65443779","33Miau","BR"
"AXE","4","HT4","148c66f2-ef13-4f8e-b198-53104ee2e4b5","bargsupporter","BR"
"AXE","4","HT4","9cf6820e-0ef4-4412-a0d6-1e86b9693661","Bestedforagopro","BR"
"AXE","4","HT4","90e182b6-0b50-41e9-942e-1aa7faf52d8f","crazyRar","BR"
"AXE","4","HT4","df48062b-8435-435c-9a5a-878fd6e1a13a","davidfss","BR"
"AXE","4","HT4","3ce0d045-ce57-42aa-b3fc-785212b487ed","Delicaty","BR"
"AXE","4","HT4","a3fd1b01-f4ce-4b1f-9f58-74f667277172","desumanidade","BR"
"AXE","4","HT4","9b43c15c-c6cf-48a3-b8dd-00873ee3f5a5","gki_","BR"
"AXE","4","HT4","58c9e12f-ebb2-4c86-ac8f-e2957534b1f4","GSAutoClicker","BR"
"AXE","4","HT4","bf0af41b-200d-4688-b02e-bf57d5bd6cd6","hhent","BR"
"AXE","4","HT4","d01bd963-3408-4b7c-b894-70d15efa15c5","iloveddlcplus","BR"
"AXE","4","HT4","7407025c-1291-4004-8600-5125b8c40eea","iskybiel","BR"
"AXE","4","HT4","2c337d22-7e6c-4227-9d58-2b703cf77ac2","Itz_Zeynn","BR"
"AXE","4","HT4","14c3d15b-0eef-4b9e-8eb0-1d0edd45cf30","LenelFA","PE"
"AXE","4","HT4","bb7883c8-1204-45a2-96e1-fd956a96396f","M1dzz","BR"
"AXE","4","HT4","437a376e-d210-4d7b-808b-798372133a13","NearInformer","BR"
"AXE","4","HT4","2a418f7e-a8af-4600-902d-5cf8d3183e15","NoHagoTrap","AR"
"AXE","4","HT4","3c3cc46e-6127-4fd6-b1bc-f118ea8a901c","oiLuca","BR"
"AXE","4","HT4","a5f33682-ec4e-434c-b8fe-af03d41f0e01","OiRainRain","BR"
"AXE","4","HT4","f2b7cc50-8e9d-4e16-bce2-a3df0d82ec05","oPinguin","BR"
"AXE","4","HT4","d9348049-0b63-4c7f-8ff8-1409febbd371","Piedadee","BR"
"AXE","4","HT4","3978a90f-6784-4983-b837-904ed9f1bf3a","R10y","BR"
"AXE","4","HT4","e35a9e9d-dd8a-412e-88e3-aedb07e70147","refinado","BR"
"AXE","4","HT4","24818686-6181-49c4-b434-66011a6a27c7","Sir_Itte","BR"
"AXE","4","HT4","b8b21387-0ac7-4b12-b571-f5cd4ad7e09d","tortapro","BR"
