"modalidade","tierId","label","uuid","name","region"
"CRYSTAL","7","LT2","c195939b-f1d2-414b-957b-94b17208305c","kykywoah","BR"
"CRYSTAL","7","LT2","1f503f9f-8101-4a3c-b5f7-2e6be6dbbda8","OverKatheinated","CL"
"CRYSTAL","6","HT3","a8e16021-4598-4eb9-97ff-4e5e5536d81e","alfonso12342y","CL"
"CRYSTAL","6","HT3","0fcce85e-2023-4377-a2ab-cb864b450cb3","guxtinhoxd","BR"
"CRYSTAL","6","HT3","18b57fb1-eca7-457c-803c-a0cded387fa5","MestreJapm","BR"
"CRYSTAL","5","LT3","8dfbef3a-a0b8-424f-a1cb-1c574da0055e","_maq","AR"
"CRYSTAL","5","LT3","1514e8d8-9431-43ee-8f86-7bc8c8756d24","_snwo","BR"
"CRYSTAL","5","LT3","738f99f0-c779-4ff0-b9bc-86dbde6af116","000cttt_","CL"
"CRYSTAL","5","LT3","f53e83c1-ceb3-4e38-9234-70e69eee9118","1248124","BR"
"CRYSTAL","5","LT3","db756c3b-f137-4c6e-b553-3dddc41bcea0","1rv1","CL"
"CRYSTAL","5","LT3","694ef0ad-0514-4d51-af71-4e4c3fb4002e","af_e_o_freezy","BR"
"CRYSTAL","5","LT3","f8cf1ee6-1590-4f6b-a378-d0b98cfff04e","Alximo","BR"
"CRYSTAL","5","LT3","b0ba40b1-0734-401c-8d32-c1c1ac392ffc","awkwer","BR"
"CRYSTAL","5","LT3","f4b6cda8-6541-4e53-a613-537ca441164b","best_lt4_oat","CL"
"CRYSTAL","5","LT3","8525e4f1-d67f-4e27-b83e-cf75fee15ab4","BR1_Tulachika","CL"
"CRYSTAL","5","LT3","a986f286-110b-4bb1-8281-5099ac9d3412","Brunn0XD","BR"
"CRYSTAL","5","LT3","b372e17a-0f62-446c-bcbd-8ddac62b2645","By_Luckz","BR"
"CRYSTAL","5","LT3","745a3077-98d3-43ce-875b-b25aa1bfcf51","casualmente","BR"
"CRYSTAL","5","LT3","567445ef-3740-4aa0-8233-9dbcc40c8beb","Cukizgoat","BR"
"CRYSTAL","5","LT3","4429304e-3add-429b-a75c-940c2478796d","djdjjd46","BR"
