"uuid","nickname","country","points","overall","CRYSTAL_tier","CRYSTAL_peak","CRYSTAL_worst","CRYSTAL_value","CRYSTAL_retired","CRYSTAL_restricted","SWORD_tier","SWORD_peak","SWORD_worst","SWORD_value","SWORD_retired","SWORD_restricted","SMP_tier","SMP_peak","SMP_worst","SMP_value","SMP_retired","SMP_restricted","MACE_tier","MACE_peak","MACE_worst","MACE_value","MACE_retired","MACE_restricted","NETHERITE_POT_tier","NETHERITE_POT_peak","NETHERITE_POT_worst","NETHERITE_POT_value","NETHERITE_POT_retired","NETHERITE_POT_restricted","AXE_tier","AXE_peak","AXE_worst","AXE_value","AXE_retired","AXE_restricted"
"d10649d3-b323-4b6a-9aad-38bf66cf81e8","meteorinto","BR","59","1","","","","","","","5","6","5","6","false","false","5","7","5","6","false","false","3","3","3","3","false","false","5","5","5","6","false","false","7","7","7","20","false","false"
"aec0c315-ca03-4193-beaf-68d377d8f353","olfd","AR","56","2","","","","","","","6","6","6","10","false","false","7","7","5","20","false","false","5","5","5","6","false","false","6","6","5","10","false","false","6","6","6","10","false","false"
"68c99c91-b4a3-474d-8116-81d4bbbd886f","MilanesaMacro","AR","52","3","2","2","2","2","false","false","6","6","0","10","false","false","7","7","0","20","false","false","4","4","2","4","false","false","5","5","0","6","false","false","6","6","0","10","false","false"
"117fdb81-fc2d-4f9c-ad15-edd3d97af111","Kniess","BR","46","4","5","6","5","6","false","false","6","6","6","10","false","false","5","5","5","6","false","false","4","4","4","4","false","false","6","6","6","10","false","false","5","5","5","6","false","false"
"3ce0d045-ce57-42aa-b3fc-785212b487ed","Delicaty","BR","44","5","3","4","2","3","false","false","6","6","4","10","false","false","5","6","5","6","false","false","5","5","5","6","false","false","6","6","5","10","false","false","4","4","1","4","false","false"
"0e6ba1a2-e051-4b72-bc2d-5810211236e9","hipnose","BR","42","6","4","4","4","4","false","false","6","6","6","10","false","false","6","6","6","10","false","false","5","5","5","6","false","false","5","5","5","6","false","false","5","5","5","6","false","false"
"c52245a6-ea4e-4b1c-93a4-f0900f7f58b5","Mubraa","BR","42","7","3","3","2","3","false","false","4","6","4","4","false","false","5","6","5","6","false","false","3","3","2","3","false","false","5","5","5","6","false","false","6","6","6","10","false","false"
"053f1d53-51ad-4bb7-bb48-63dcf83e3c99","hrdt","BR","39","8","2","4","2","2","false","false","5","6","4","6","false","false","6","6","6","10","false","false","3","3","2","3","false","false","5","5","5","6","false","false","5","5","4","6","false","false"
"deee4035-3a59-45b4-9bad-b33a7f3ea8d2","Sicklezin","BR","38","9","","","","","","","3","5","3","3","false","false","6","6","5","10","false","false","5","5","3","6","false","false","5","5","4","6","false","false","6","6","5","10","false","false"
"5ed3d08f-0dea-4676-99b3-a2d1e38cfa88","Pepalux","BR","37","10","2","2","2","2","false","false","5","6","5","6","false","false","5","6","0","6","false","false","2","3","1","2","false","false","4","5","4","4","false","false","5","5","4","6","false","false"
"1b8b71f5-88b1-4b3a-b18c-ce86e8b755f0","Vivantis","BR","37","11","5","6","5","6","false","false","3","3","0","3","false","false","5","5","4","6","false","false","5","5","5","6","false","false","5","5","5","6","false","false","5","5","3","6","false","false"
"1a12ca4e-488a-475c-a07c-55e209f3e088","BrasilFailed","BR","36","12","3","3","2","3","false","false","5","6","3","6","false","false","5","6","1","6","false","false","3","3","3","3","false","false","3","4","2","3","false","false","5","5","4","6","false","false"
"2e7a436d-a926-41ba-8e26-9e883cfebf36","YoBlitzo","BR","34","13","2","2","2","2","false","false","4","5","3","4","false","false","5","6","4","6","false","false","4","4","1","4","false","false","5","5","3","6","false","false","5","5","4","6","false","false"
"fd59643b-1f76-4f7f-bd13-15efba56d9cd","Nubx_","BR","34","14","5","5","3","6","false","false","6","6","4","10","false","false","4","5","3","4","false","false","4","4","3","4","false","false","4","4","1","4","false","false","2","4","2","2","false","false"
"9583242b-a39b-405c-a8b2-08c516c3378d","Wee_gay","BR","33","15","5","5","3","6","false","false","4","5","4","4","false","false","4","5","4","4","false","false","5","5","5","6","false","false","3","3","3","3","false","false","5","5","5","6","false","false"
"9334cf4b-8fa9-4d7a-95d4-4086ac845661","Lotusz__","BR","33","16","5","7","5","6","false","false","4","5","1","4","false","false","2","2","2","2","false","false","","","","","","","3","3","3","3","false","false","2","2","2","2","false","false"
"4265e038-ff23-41d9-bb12-ff59eff469a7","Banaza","BR","32","17","3","3","2","3","false","false","3","5","3","3","false","false","6","6","5","10","false","false","3","3","3","3","false","false","4","4","3","4","false","false","5","5","3","6","false","false"
"f8cf1ee6-1590-4f6b-a378-d0b98cfff04e","Alximo","BR","32","18","5","5","4","6","false","false","5","6","5","6","false","false","6","6","3","10","false","false","","","","","","","5","5","4","6","false","false","","","","","",""
"e404ba7b-4acd-4e7f-b7f9-5d7cb4fc201a","FFranchu","AR","32","19","","","","","","","7","7","6","20","false","false","3","5","3","3","false","false","","","","","","","","","","","","","5","5","4","6","false","false"
"cc7a54cb-ad31-475e-82e6-1be834bf9474","SkibidiSIgma76","PE","32","20","3","3","1","3","false","false","6","6","5","10","false","false","5","5","3","6","false","false","3","4","3","3","false","false","5","5","5","6","false","false","3","3","2","3","false","false"
"148c66f2-ef13-4f8e-b198-53104ee2e4b5","bargsupporter","BR","32","21","2","2","2","2","false","false","4","5","3","4","false","false","6","6","2","10","false","false","5","5","3","6","false","false","4","4","4","4","false","false","4","4","4","4","false","false"
"3490a0f4-f6fb-402f-8043-361062d3c398","Acroscythh","UY","30","22","","","","","","","0","8","0","0","false","false","","","","","","","","","","","","","","","","","","","","","","","",""
"e35a9e9d-dd8a-412e-88e3-aedb07e70147","refinado","BR","29","23","5","5","4","6","false","false","6","6","5","10","false","false","4","4","4","4","false","false","1","1","1","1","false","false","4","4","4","4","false","false","4","4","4","4","false","false"
"7432b5e4-8ffb-4858-acb5-bb796b86bc53","nequg","BR","29","24","3","3","1","3","false","false","5","6","2","6","false","false","4","4","1","4","false","false","3","3","3","3","false","false","3","3","2","3","false","false","5","5","1","6","false","false"
"3f044927-65b2-4740-a0cc-ec94e0fb490b","TungTungMoon","BR","28","25","3","3","2","3","false","false","5","5","3","6","false","false","5","5","2","6","false","false","4","4","2","4","false","false","2","3","2","2","false","false","5","5","3","6","false","false"
"14c3d15b-0eef-4b9e-8eb0-1d0edd45cf30","LenelFA","PE","28","26","","","","","","","3","5","3","3","false","false","6","6","5","10","false","false","4","4","4","4","false","false","4","4","4","4","false","false","4","4","3","4","false","false"
"b7b15bc3-772f-4be4-b79b-3a69c7fe24b4","Shoyorty","BR","28","27","","","","","","","5","5","5","6","false","false","5","6","5","6","false","false","","","","","","","5","5","5","6","false","false","5","5","5","6","false","false"
"21254a6b-5f76-4e91-b7b2-8a1391015bf8","andrewlarp","BR","28","28","3","3","3","3","false","false","3","5","3","3","false","false","5","6","4","6","false","false","","","","","","","5","5","4","6","false","false","3","3","2","3","false","false"
"6b28e5b5-3f7a-446b-9e96-db12a85c0a59","Chro0nos","BR","28","29","","","","","","","3","5","3","3","false","false","5","5","4","6","false","false","5","5","2","6","false","false","4","4","3","4","false","false","5","5","3","6","false","false"
"ccdb0039-b790-4187-80de-a0b9a8dacbee","TungTungCurious","BR","27","30","2","2","2","2","false","false","4","5","3","4","false","false","5","5","3","6","false","false","5","5","2","6","false","false","3","3","3","3","false","false","4","4","3","4","false","false"
